#Run Subrun PIN RMS
#------------------
109770  17  1195 179.62
109770  18  1194 180.41
109770  19  1197 181.05
109770  20  1198 180.19
109770  21  1200 180.70
109770  22  1198 180.28
109770  23  1197 178.93
109770  24  1200 180.12
109770  25  1199 180.16
109770  26  1203 180.42
109770  27  1201 179.66
109770  28  1202 180.56
109770  29  1201 180.86
109770  30  1198 179.27
109770  31  1198 180.83
109770  32  1197 179.24
109770  33  1196 181.44
109770  34  1198 179.35
109770  35  1200 179.21
109770  36  1200 180.18
109770  37  1200 179.15
109770  38  1199 179.94
109770  39  1201 178.98
109770  40  1199 181.06
109770  41  1198 180.68
109770  42  1197 179.04
109770  43  1194 180.41
109770  44  1202 180.82
109770  45  1200 181.93
109770  46  1201 179.57
109770  47  1202 179.47
109770  48  1197 180.79
109770  49  1194 180.83
109770  50  1200 179.55
109770  51  1205 180.47
109770  52  1200 179.62
109770  53  1203 179.64
109770  54  1199 181.23
109770  55  1198 179.97
109770  56  1200 179.60
109770  57  1199 179.02
109770  58  1198 181.08
109770  59  1201 179.41
109770  60  1195 180.01
109770  61  1198 180.23
109770  62  1196 181.03
109770  63  1198 180.18
109770  64  1198 180.45
109770  65  1202 179.61
109770  66  1202 180.88
109770  67  1198 179.53
109770  68  1197 180.59
109770  69  1201 180.25
109770  70  1200 180.90
109770  71  1200 179.72
109770  72  1198 180.36
109770  73  1202 179.11
109770  74  1198 179.41
109770  75  1198 181.01
109770  76  1198 180.97
109770  77  1200 180.90
109770  78  1198 181.36
109770  79  1203 179.72
109770  80  1197 179.63
109770  81  1199 179.82
109770  82  1201 180.56
109770  83  1201 181.03
109770  84  1197 182.05
109770  85  1197 179.97
109770  86  1195 181.13
109770  87  1203 179.61
109770  88  1198 179.59
109770  89  1198 182.17
109770  90  1200 180.52
109770  91  1196 180.31
109770  92  1199 179.07
109770  93  1195 180.48
109770  94  1198 180.46
109770  95  1198 180.07
109770  96  1197 179.77
109770  97  1196 180.30
109770  98  1201 182.30
109770  99  1197 179.07
109770 100  1199 180.44
109770 101  1193 180.06
109770 102  1195 180.52
109770 103  1203 180.43
109770 104  1199 181.15
109770 105  1195 178.67
109770 106  1198 180.73
109770 107  1197 180.16
109770 108  1198 181.45
109770 109  1194 180.36
109770 110  1196 179.57
109770 111  1195 179.12
109770 112  1199 180.90
109770 113  1195 179.82
109770 114  1200 180.01
109770 115  1195 181.26
109770 116  1201 180.97
109770 117  1200 180.00
109770 118  1195 179.96
109770 119  1200 180.95
109770 120  1202 180.65
109770 121  1195 178.85
109770 122  1201 179.79
109770 123  1196 179.98
109770 124  1197 178.69
109770 125  1197 180.51
109770 126  1193 179.88
109770 127  1198 179.85
109770 128  1200 179.47
109770 129  1197 179.29
109770 130  1197 179.54
109770 131  1197 179.68
109770 132  1200 179.91
109770 133  1199 180.86
109770 134  1201 180.64
109770 135  1194 179.91
109770 136  1199 179.81
109770 137  1202 181.16
109770 138  1200 179.80
109770 139  1202 180.42
109770 140  1198 179.65
109770 141  1198 179.40
109770 142  1197 180.23
109770 143  1197 181.09
109770 144  1199 178.94
109770 145  1199 180.39
109770 146  1197 180.98
109770 147  1201 180.57
109770 148  1200 179.57
109770 149  1195 180.52
109770 150  1197 180.70
109770 151  1199 178.98
109770 152  1198 179.83
109770 153  1196 181.15
109770 154  1197 180.62
109770 155  1197 179.98
109770 156  1195 180.79
109770 157  1195 179.54
109770 158  1198 179.94
109770 159  1204 179.93
109770 160  1199 179.83
109770 161  1203 178.89
109770 162  1207 180.34
109770 163  1205 179.48
109770 164  1202 180.34
109770 165  1201 181.57
109770 166  1201 178.85
109770 167  1203 180.66
109770 168  1200 177.90
109770 169  1199 181.37
109770 170  1199 180.98
109770 171  1205 179.66
109770 172  1202 179.72
109770 173  1199 181.45
109770 174  1200 181.24
109770 175  1197 180.65
109770 176  1203 179.40
109770 177  1200 181.89
109770 178  1201 179.40
109770 179  1195 181.12
109770 180  1196 179.43
109770 181  1202 181.02
109770 182  1199 180.30
109770 183  1196 180.27
109770 184  1204 180.04
109770 185  1199 178.79
109770 186  1202 179.99
109770 187  1202 179.80
109770 188  1201 178.63
109770 189  1204 180.28
109770 190  1198 180.37
109770 191  1200 179.87
109770 192  1196 179.89
109770 193  1201 180.28
109770 194  1200 180.86
109770 195  1203 179.71
109770 196  1197 180.30
109770 197  1199 179.74
109770 198  1201 180.37
109770 199  1200 180.84
109776   0  1209 181.27
109776   1  1208 181.01
109776   2  1210 179.98
109776   3  1211 179.97
109776   4  1207 180.16
109776   5  1206 179.88
109776   6  1213 180.23
109776   7  1207 180.08
109776   8  1208 179.67
109776   9  1213 181.84
109776  10  1210 178.94
109776  11  1206 180.51
109776  12  1206 179.77
109776  13  1209 180.46
109776  14  1205 180.26
109776  15  1203 179.71
109776  16  1207 180.65
109776  17  1208 180.74
109776  18  1207 180.33
109776  19  1209 180.41
109776  20  1212 180.07
109776  21  1211 180.51
109776  22  1217 179.74
109776  23  1212 179.44
109776  24  1210 179.11
109776  25  1208 180.03
109776  26  1211 180.55
109776  27  1208 181.12
109776  28  1206 178.78
109776  29  1206 179.19
109776  30  1211 179.20
109776  31  1209 180.52
109776  32  1209 180.84
109776  33  1209 180.83
109776  34  1205 180.87
109776  35  1205 181.12
109776  36  1202 180.09
109776  37  1208 179.97
109776  38  1209 180.05
109776  39  1207 179.83
109776  40  1206 179.59
109776  41  1208 181.38
109776  42  1215 180.61
109776  43  1207 180.73
109776  44  1207 179.31
109776  45  1210 180.33
109776  46  1211 181.00
109776  47  1210 179.90
109776  48  1210 180.10
109776  49  1210 179.89
109776  50  1210 180.06
109776  51  1209 179.05
109776  52  1211 180.33
109776  53  1212 180.69
109776  54  1214 180.26
109776  55  1209 179.63
109776  56  1212 179.51
109776  57  1208 182.15
109776  58  1209 179.38
109776  59  1206 181.20
109776  60  1217 180.74
109776  61  1213 180.10
109776  62  1211 180.87
109776  63  1215 180.15
109776  64  1215 179.36
109776  65  1212 180.89
109776  66  1208 179.43
109776  67  1211 180.60
109776  68  1211 180.54
109776  69  1209 180.60
109776  70  1209 180.21
109776  71  1210 180.66
109776  72  1214 180.01
109776  73  1217 181.22
109776  74  1211 180.69
109776  75  1214 179.16
109776  76  1212 180.90
109776  77  1213 179.44
109776  78  1210 180.51
109776  79  1215 181.47
109776  80  1212 181.33
109776  81  1214 180.10
109776  82  1212 180.17
109776  83  1214 180.79
109776  84  1213 179.78
109776  85  1213 179.48
109776  86  1207 180.00
109776  87  1211 180.12
109776  88  1215 181.09
109776  89  1214 179.51
109776  90  1211 182.10
109776  91  1212 180.12
109776  92  1213 179.64
109776  93  1215 180.46
109776  94  1211 179.13
109776  95  1215 180.58
109776  96  1214 181.47
109776  97  1213 180.29
109776  98  1218 180.74
109776  99  1212 181.50
109776 100  1214 180.79
109776 101  1211 180.61
109776 102  1212 180.58
109776 103  1214 182.04
109776 104  1214 179.41
109776 105  1213 181.25
109776 106  1208 180.74
109776 107  1208 180.14
109776 108  1209 180.06
109776 109  1212 180.15
109776 110  1213 181.87
109776 111  1213 181.80
109776 112  1210 180.53
109776 113  1211 179.42
109776 114  1210 180.56
109776 115  1208 178.72
109776 116  1209 180.04
109776 117  1210 179.79
109776 118  1208 179.20
109776 119  1207 179.65
109776 120  1211 179.57
109776 121  1212 179.57
109776 122  1212 180.07
109776 123  1211 180.07
109776 124  1207 181.07
109776 125  1212 180.01
109776 126  1214 179.87
109776 127  1219 180.63
109776 128  1211 180.51
109776 129  1215 180.63
109776 130  1216 179.57
109776 131  1211 179.94
109776 132  1216 180.16
109776 133  1208 181.30
109776 134  1216 180.99
109776 135  1211 180.11
109776 136  1210 179.73
109776 137  1214 180.98
109776 138  1209 179.74
109776 139  1212 180.60
109776 140  1213 180.55
109776 141  1211 179.39
109776 142  1211 179.64
109776 143  1217 181.01
109776 144  1211 179.17
109776 145  1215 180.68
109776 146  1211 180.85
109776 147  1210 181.09
109776 148  1209 180.54
109776 149  1211 180.89
109776 150  1214 180.75
109776 151  1215 179.05
109776 152  1209 181.20
109776 153  1215 182.80
109776 154  1213 179.64
109776 155  1216 179.56
109776 156  1212 181.11
